0,1
1,"{'3': 2.022571563720703, '16': 2.3452706336975098, '12': 2.190575361251831, '55': 1.8596330881118774, '28': 2.16410756111145, '1': 2.171111583709717, '29': 2.144758701324463, '56': 2.208897829055786, '24': 2.687011480331421, '89': 2.3016655445098877}"
3,"{'52': 1.2097525596618652, '33': 2.1027941703796387, '13': 1.162532091140747, '15': 2.270160436630249, '21': 1.5460878610610962, '8': 1.4766398668289185, '39': 1.555773377418518, '80': 1.353362798690796, '64': 1.5779407024383545, '48': 1.120177149772644}"
5,"{'5': 0.7422492504119873, '63': 0.6719645261764526, '96': 0.5273156762123108, '99': 0.7994372844696045, '86': 1.102053165435791, '71': 0.7111712694168091, '0': 0.9104415774345398, '6': 0.7005259990692139, '20': 0.5982587337493896, '17': 1.1552886962890625}"
7,"{'30': 0.2599761188030243, '44': 0.4826955795288086, '50': 1.00154709815979, '74': 0.9593154788017273, '79': 0.6266046762466431, '53': 0.24823155999183655, '34': 0.7533956170082092, '71': 0.47265371680259705, '32': 0.829860508441925, '3': 0.6535984873771667}"
9,"{'67': 0.31510114669799805, '19': 0.7225849628448486, '68': 0.28210943937301636, '98': 0.22019708156585693, '58': 0.20075741410255432, '50': 0.17601564526557922, '57': 0.9089576601982117, '2': 0.7050507068634033, '77': 0.3286364674568176, '1': 0.3590277135372162}"
11,"{'24': 0.5482916235923767, '5': 0.16671733558177948, '17': 0.4299178719520569, '18': 0.13012592494487762, '8': 0.2717822194099426, '6': 0.3837627172470093, '68': 0.24336525797843933, '83': 0.1786382496356964, '79': 0.8581960797309875, '97': 1.2212274074554443}"
13,"{'48': 0.006121581885963678, '98': 0.17016640305519104, '17': 2.0290281772613525, '89': 0.38314732909202576, '15': 0.21627576649188995, '30': 0.0656396746635437, '57': 1.7188199758529663, '51': 0.3158006966114044, '29': 0.2912188470363617, '47': 0.658011794090271}"
15,"{'30': 0.34318384528160095, '99': 0.2143377959728241, '14': 0.15008732676506042, '27': 0.6023958921432495, '5': 0.2230912744998932, '7': 0.6207727193832397, '75': 0.03193942457437515, '37': 0.41000762581825256, '12': 0.8822053074836731, '46': 0.33520984649658203}"
17,"{'41': 0.37720614671707153, '47': 0.2626786530017853, '56': 0.20813632011413574, '64': 0.26322653889656067, '87': 0.04854407161474228, '50': 0.01776905357837677, '23': 0.04559189826250076, '3': 0.14735808968544006, '7': 0.11335127055644989, '75': 0.406502902507782}"
19,"{'78': 0.22980988025665283, '18': 0.3465685546398163, '42': 0.6384294629096985, '50': 0.011250250041484833, '80': 0.0938279926776886, '84': 0.014491142705082893, '49': 1.4360694885253906, '3': 0.2630766034126282, '17': 0.3310977518558502, '24': 0.0012460565194487572}"
20,"{'95': 0.01552677433937788, '67': 0.5098955035209656, '38': 0.10912095010280609, '91': 0.2313908338546753, '12': 0.280489981174469, '84': 0.025215158239006996, '94': 0.48140081763267517, '13': 0.10983775556087494, '53': 0.48729652166366577, '52': 0.16437329351902008}"
